0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
27.246, 0, 2.62755, -1.03106, 1.59071, -2.07328, 0.537676, 3.12949, -0.59959, 1.89317, -1.80956, 0.954647, -2.59969, 0.0763889, 2.7273, -0.918755, 1.70443, -1.97642, 0.596063, -3.14159, -0.596063
27.539, 0, 2.61935, -1.04672, 1.56981, -2.09356, 0.53094, -3.1152, -0.447881, 2.25413, -1.34474, 1.28143, -2.40974, 0.172897, 2.75722, -0.937921, 1.65232, -2.03977, 0.551236, -3.14159, -0.551236
27.832, 0, 2.62182, -1.04392, 1.56857, -2.10916, 0.479217, 3.03428, -0.756405, 1.65065, -2.12479, 0.679031, -2.76464, -0.0170731, 2.67023, -0.957502, 1.67522, -1.99897, 0.582489, -3.14159, -0.582489
28.1249, 0, 2.61805, -1.05335, 1.55199, -2.132, 0.456822, 3.03624, -0.664976, 1.9415, -1.69061, 0.995242, -2.60121, 0.0654448, 2.71029, -0.945693, 1.66629, -2.01928, 0.565389, -3.14159, -0.565389
28.4179, 0, 2.6395, -1.00273, 1.64539, -1.97307, 0.718468, -2.83558, -0.0569079, 2.7357, -0.84021, 1.74187, -2.03074, 0.466122, 2.98027, -0.766992, 1.78225, -1.94837, 0.599787, -3.14159, -0.599787
28.7109, 0, 2.62752, -1.0325, 1.589, -2.06843, 0.562394, -3.0785, -0.405722, 2.30829, -1.25274, 1.42483, -2.23331, 0.359024, 2.93842, -0.770326, 1.79735, -1.92973, 0.611708, -3.14159, -0.611708
29.0038, 0, 2.63381, -1.01868, 1.61038, -2.04215, 0.587633, -3.06879, -0.44097, 2.18856, -1.46657, 1.16215, -2.49148, 0.133559, 2.75269, -0.918017, 1.68463, -2.00808, 0.570637, -3.14159, -0.570637
29.2968, 0, 2.63, -1.0247, 1.60237, -2.05423, 0.568237, -3.10341, -0.508365, 2.06361, -1.65324, 0.950989, -2.69058, -0.0373418, 2.61324, -1.02677, 1.60593, -2.05787, 0.547104, -3.14159, -0.547104
29.5898, 0, 2.62168, -1.04476, 1.56748, -2.10682, 0.493822, 3.0829, -0.620734, 1.95686, -1.7186, 0.972463, -2.56805, 0.139392, 2.79573, -0.864682, 1.73414, -1.97064, 0.590742, -3.14159, -0.590742
29.8828, 0, 2.60458, -1.07061, 1.52801, -2.14918, 0.457092, 3.06822, -0.592055, 2.03632, -1.6105, 1.02749, -2.62075, 0.0106807, 2.63592, -1.02744, 1.58924, -2.08105, 0.530765, -3.14159, -0.530765
